"","PDW","PWW","PieW","PieD"
"1",0.246437552388935,0.635235732009926,0.4032016008004,0.5967983991996
"2",0.268996960486322,0.681654676258993,0.457990115321252,0.542009884678748
"3",0.268357810413885,0.655054254711593,0.437561152089832,0.562438847910168
"4",0.196975571927104,0.605426356589147,0.332982559725939,0.667017440274061
"5",0.176492127425851,0.61878453038674,0.316459966410453,0.683540033589547
"6",0.179143389199255,0.592905405405405,0.305581340942676,0.694418659057324
"7",0.158560959360426,0.522088353413655,0.249124562281141,0.750875437718859
"8",0.148280337443219,0.5,0.228728728728729,0.771271271271271
"9",0.170161567548986,0.485416666666667,0.248503592111057,0.751496407888943
"10",0.201212986086336,0.528033472803347,0.298899449724862,0.701100550275138
"11",0.238740534077322,0.559558823529412,0.35151201860946,0.64848798139054
"12",0.261924342105263,0.592592592592593,0.391322154217196,0.608677845782804
